,press,title,url,content,like,dislike,time_written,re_reply,query
0,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,정치인이자 현정권 요직에 있는자의 아들 문제는 수사 잘 돼가고 있는건가?,31,1,2020.06.12. 14:54:07,1,공군 특혜
1,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,벌써 감추기 작업들어갔냐? 청원은 왜 가리워  놓냐? 이 정부는 심심하면 비공개를 하네~추미애 아들 수사는 또 왜 들어갔냐?,24,1,2020.06.12. 15:06:46,0,공군 특혜
2,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,누구 아들인고?,16,1,2020.06.12. 14:52:15,1,공군 특혜
3,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,회사 창업자인 회장내 아들이 아닙니다. 월급쟁이 경영인에 지나지 않는 일개 부회장이 재벌행새하며 지 아들 챙긴거예요. 나이스 회장은 작년에 돌아가셨고 인격좋기로 유명. 그집 아들로 오해금지. 나이스그룹은 작년에 부회장 승진시킨 최영 이시키 당장 퇴사시켜라.,10,0,2020.06.13. 08:39:16,1,공군 특혜
4,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,누구아들인지 밝혀라,3,0,2020.06.12. 16:36:04,0,공군 특혜
5,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,뭐 군대라고 해서 다를게 뭐 있겠는가...모조리 썩어 가고 있는데...진보정권의 군대...뭐 이상할것도 없지요...적과 아군이 구분이 안되는데...,2,0,2020.06.12. 17:08:03,0,공군 특혜
6,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,감찰이 감투쓰고있잖아 그새./끼들이 제일 잘받아 처먹는데 그새./끼들이 감찰하면 뭐나오냐?,2,0,2020.06.12. 15:10:25,0,공군 특혜
7,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,진짜 너무들 한다 개 돼지 자식들만 불쌍하군,2,0,2020.06.12. 14:57:53,0,공군 특혜
8,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,개돼지나라 여자 >>>>>>>>>>>>>>>>>>>>>>>> 금수저 남자,5,5,2020.06.12. 14:52:53,0,공군 특혜
9,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,"이런거 엄청 많았는데, 지금와서 터지는거도 웃기다ㅎㅎㅎ 3스타 헬기타고와서 병사랑 밥먹고 간적도 있다ㅎㅎ군도 지휘부 개썩었어~ 물갈이 필요",1,1,2020.06.12. 15:14:13,0,공군 특혜
10,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,아직도  이런 쓰레기가있나.부대장을 직위해제 시켜야되지않나. 요즘군인은 군인도아니여,0,0,2020.06.14. 06:51:49,0,공군 특혜
11,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,군대가 당나라 군대되어간다,0,0,2020.06.13. 17:15:09,0,공군 특혜
12,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,그냥.. 저 부대 같이 쓰는 병사들이 너무 불쌍하다 공본와서 휩쓸고가면 사령부에서 또 휩쓸고가고 여단에서는 이제 수시로 올꺼고.. 너무 불쌍하다,0,0,2020.06.13. 12:13:58,0,공군 특혜
13,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,실시간 검색1위도 못하네~~?,0,0,2020.06.13. 12:07:54,0,공군 특혜
14,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,이딴식으로할꺼면 징병제하지마라,0,0,2020.06.13. 10:18:36,0,공군 특혜
15,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,헉;;; 뭐 사회생활에서 그랬다면...더럽고 치사하지만 어쩔 수 없다고 치자....그런데 군대에서 그러는건 좀 아니다;;;;;;,0,0,2020.06.13. 09:29:10,0,공군 특혜
16,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,"얘들 짜집기해서 덩치 키우는 그룹이잖아. 나이스신용정보, 나이스정밀, 나이스엘엠에스 등등. 이것저것 손 뻗쳐서 각 조직에 회장, 사장 두고 정기적으로 임원들 다른 계열사로 순환. 어차피 몇년 있음 떠날 회사에 근무하는 임원들 마인드가 어떨까?ㅋ",0,0,2020.06.13. 06:53:51,0,공군 특혜
17,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,이거 다른뉴스에  나이스 금융그룹 아들이라고 하던데 나이스 신용정보 뭐 이런거 하는 회사아니냐~ 거기가 대기업이었냐?ㅋ 삼성 현대 LG SK같은 유명한 대기업도 이런 짓은 안하는데 대체 얼마나 대단하시다고 이런 물의를 일으키시나?ㅋㅋ,0,0,2020.06.13. 05:51:56,1,공군 특혜
18,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,무능한 공군이되었구나!! 15년전 공군병으로서 자부심을 가지고 살아왔는데 지금 국방부 장관 하는거 보니 공군 다 망친거같다 공군 나온게 부끄러워진다,0,0,2020.06.12. 16:47:39,0,공군 특혜
19,조선비즈,"title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
title    공군, 부사관 심부름·1인실 사용 등 '금수저' 병사 특혜 의혹 감찰
Name: 0, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000537899,김정은이 보다 크게 누린거 아니면 괜찮지않을까,0,0,2020.06.12. 16:34:47,0,공군 특혜
20,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,나이스  그룹 신상털어 전국민 다알게하자,0,0,2020.06.13. 22:19,0,공군 특혜
21,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,이게 바로 군인 인권 보장의 혁신이다. 헌대 사병 인권을 꼴랑 부사관 녀석이 보장하냐? 투서한 부사관녀석 당장 색출하여 영창 보내고 별 네개짜리 붙여죠라. 그라고 모든 병사한태 부사관 한놈씩 1:1 로 배당하여 빨래며 사역이며 모든 잡심부름 일체를 밀착지원하라.,0,0,2020.06.13. 21:21,0,공군 특혜
22,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,나XX 최XX가 맞나요?,1,0,2020.06.13. 09:57,0,공군 특혜
23,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,사실이면 병사는 하극상으로 감빵보내고 부모는 뇌물등 죄로 처벌하라 해당부대장은 그냥 이등병강등 전역시켜라,1,0,2020.06.13. 09:55,0,공군 특혜
24,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,공군병사 부모야 자식 그랗게 키워서 어디다 쓸래?군대에서만큼 자립심과 사회성을 키우고 인내심을  배워야지 부회장 아들은 영원히 철 안든도,1,0,2020.06.13. 09:40,0,공군 특혜
25,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,"문재인의안보관이개판이니,군대돌아가는게개판인거지!",1,4,2020.06.13. 09:39,0,공군 특혜
26,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,N이스 인가? 아니면 나2스 인가?,0,0,2020.06.13. 09:38,0,공군 특혜
27,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,영창보내라~,0,0,2020.06.13. 09:25,0,공군 특혜
28,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,신용정보회사가 그렇게 돈줄이좋은가?,3,0,2020.06.13. 09:24,0,공군 특혜
29,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,끕이맞게 보냈어야지요...장관님에게 보냈어야제대로 할텐데..,0,0,2020.06.13. 09:20,0,공군 특혜
30,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,모든 신문이 이 사건을 축소해서 보도하는데 왜 그럴까?  저 넘의 새끼 영창 보내라,7,0,2020.06.13. 09:17,0,공군 특혜
31,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,제대하면 취업 보장되는데 선후배에게만 요청했다? 청원 올리신분께는 요청이 없어서?,0,1,2020.06.13. 09:16,1,공군 특혜
32,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,난 또...힘있고  누구도 건드릴수없는... 정의연 쪽인줄 알았네....그나저나...정의연은요???,3,1,2020.06.13. 09:16,0,공군 특혜
33,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,이놈은 징역살게 하고  관련 군대  인사들도  징역형으로  징계하고 연금도 박탈시켜라 지금이  조선시대도 아니고 무슨 돈으로 군대를 죄지우지 하는것이  황당하다 그 부모도 청탁으로 재판에 회부해야 본보기가 된다  아무리 편해졌다고 해도  군대에는  군기가 필요한 법인데 이 사건은 모든 군대에 자식을 보낸 부모들의 가슴에  못을  박는 행위라고 본다 일벌백계해라  대충 감사하지말고  철저히 조사해서  징계해라  한낱  돈으로  지 자식만 위한  그 기업인도  처벌 반드시 하길 바란다 국민은 분노하고  있다,8,0,2020.06.13. 09:09,0,공군 특혜
34,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,니기미  때려치아라....,0,0,2020.06.13. 09:04,0,공군 특혜
35,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,역시 당나라 군대!!!,1,0,2020.06.13. 09:03,0,공군 특혜
36,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,부대장 짜르고   관련군인 짜르고 연금박탈해라.그리고 재벌가 공개하고 그 찌질한 재벌 군인색히는군깜빵 보내서 최악 군생활시키고 제대시키린충분히 법으로 가능하다,18,0,2020.06.13. 08:58,0,공군 특혜
37,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,만약 사실이라면 설마 아니겠지..  사실이라면 공군 지휘체계에 있는 모든 장교들은 보직해임시켜라. 이게 군대냐,11,0,2020.06.13. 08:57,0,공군 특혜
38,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,군대 생활 처음부터 다시 하게 해라.,8,0,2020.06.13. 08:56,0,공군 특혜
39,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,미쳤다. 이럴거면 군대를 없애라,1,0,2020.06.13. 08:50,0,공군 특혜
40,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,ㅋㅋㅋ 참 대단하다  어정쩡한 수저에 부회장이라  군면제나  공익은 안되고   부대가고  부대에  따까리들은  시중이나 들고 자빠졌고   대대장선에서  꼬리 짜르겄네,2,1,2020.06.13. 08:40,0,공군 특혜
41,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,부대장 윗선이 개입했을 가능성이 크다....그리고 부회장이라는 사람이 두툼한 봉투를 건넸겠지....,0,0,2020.06.13. 08:38,0,공군 특혜
42,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,아버지 빽이 엄청난가 봐~ㅋ 국방장관도 공군출신이지? 아마..,2,1,2020.06.13. 08:35,0,공군 특혜
43,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,더러운 세상이네ㆍ완전히 개 하극상 이네ㆍ부모가 아이를 잘못가르쳤네ㆍ,7,0,2020.06.13. 08:30,0,공군 특혜
44,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,군대보직 비리 조사하면 영창 가야될 간부들 많지. 어떤 군이건 접적지역 가봐라. 거기 병사들 모두 빽도 없고 가진것 없는 집안 자식들이다.,6,0,2020.06.13. 08:21,1,공군 특혜
45,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,그 애비에 그 자식이구만,11,0,2020.06.13. 08:06,0,공군 특혜
46,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,군대도 감사원에서 감사하자. 감사를 같은 조직에서 하는데 군비리가 개선이 되겠나....,6,0,2020.06.13. 08:04,0,공군 특혜
47,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,군대 시대는 아직 변하지 않았네.,0,1,2020.06.13. 08:02,0,공군 특혜
48,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,"잘못키운 부모와 잘못큰 자식의 콜라보.둘중 하나만 정상이면 일어나지 않을일.내가 나이가 들어서인지, 자식색ㄲㅣ가문제지. 스무살 넘었으면 부모가 아무리 품안의 자식 시전해도 그만좀 챙기라고먼저 Gral 하는게 남자 아니겠니? 돈많고 불쌍한 전형적인 집안임.",9,0,2020.06.13. 07:53,1,공군 특혜
49,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,이제 우리나라도 모병제 할때가 됐다.,0,0,2020.06.13. 07:51,0,공군 특혜
50,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,할수만 있었다면 군대도 대신 보냈을거 같네,6,0,2020.06.13. 07:47,0,공군 특혜
51,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,엄중한 처벌  바랍니다,9,0,2020.06.13. 07:41,0,공군 특혜
52,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,금천구 도심 한복판에 몇십년째 알박기하고 있는 군부대의 존재 이유가 몇몇 대기업 간부 자재들의 군 생활 도피처 였다니 썩은내가 진동을 하는군요 책임자는 군법으로 다스리고 군부대는 하루 빨리 철거 시켜야 합니다,27,2,2020.06.13. 07:20,0,공군 특혜
53,경향신문,"title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
title    빨래 심부름·1인실 사용··· 공군 부대 '금수저 병사' 특혜 의혹에 공군 감찰 착수
Name: 1, dtype: object",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=032&aid=0003014622,돈 못받은 부사관이 속상해서 찔렀네,3,17,2020.06.13. 07:13,0,공군 특혜
